"Iteration","Swap Count"
"1","125918"
"2","16938"
"3","2417"
"4","1220"
"5","824"
"6","670"
"7","573"
"8","509"
"9","466"
"10","407"
"11","362"
"12","368"
"13","322"
"14","293"
"15","302"
"16","292"
"17","287"
"18","289"
"19","250"
"20","250"
"21","240"
"22","232"
"23","219"
"24","230"
"25","224"
"26","221"
"27","200"
"28","208"
"29","193"
"30","184"
"31","165"
"32","179"
"33","187"
"34","199"
"35","192"
"36","186"
"37","179"
"38","165"
"39","165"
"40","153"
"41","151"
"42","152"
"43","152"
"44","159"
"45","134"
"46","144"
"47","141"
"48","128"
"49","122"
"50","118"
"51","123"
"52","131"
"53","122"
"54","116"
"55","101"
"56","113"
"57","97"
"58","101"
"59","86"
"60","96"
"61","88"
"62","85"
"63","96"
"64","82"
"65","84"
"66","80"
"67","92"
"68","88"
"69","84"
"70","81"
"71","79"
"72","73"
"73","73"
"74","62"
"75","60"
"76","56"
"77","73"
"78","70"
"79","76"
"80","79"
"81","77"
"82","74"
"83","61"
"84","55"
"85","59"
"86","55"
"87","57"
"88","53"
"89","46"
"90","46"
"91","46"
"92","39"
"93","47"
"94","54"
"95","54"
"96","51"
"97","42"
"98","45"
"99","49"
"100","45"
"101","49"
"102","38"
"103","47"
"104","41"
"105","42"
"106","49"
"107","35"
"108","35"
"109","43"
"110","43"
"111","45"
"112","38"
"113","39"
"114","35"
"115","29"
"116","29"
"117","25"
"118","37"
"119","25"
"120","40"
"121","24"
"122","34"
"123","33"
"124","34"
"125","30"
"126","27"
"127","29"
"128","26"
"129","26"
"130","25"
"131","19"
"132","24"
"133","23"
"134","25"
"135","21"
"136","23"
"137","21"
"138","27"
"139","30"
"140","33"
"141","28"
"142","28"
"143","30"
"144","39"
"145","31"
"146","35"
"147","24"
"148","30"
"149","18"
"150","26"
"151","18"
"152","28"
"153","20"
"154","22"
"155","21"
"156","11"
"157","10"
"158","11"
"159","8"
"160","10"
"161","5"
"162","8"
"163","10"
"164","9"
"165","6"
"166","8"
"167","6"
"168","9"
"169","5"
"170","8"
"171","6"
"172","7"
"173","3"
"174","4"
"175","2"
"176","5"
"177","2"
"178","4"
"179","2"
"180","4"
"181","1"
"182","4"
"183","1"
"184","0"
